time,Temperature_B,Temperature_D,Temperature_A,Temperature_C,hour
2022-08-09 13:00:00,99,95,91,90,13
2022-08-09 13:05:00,99,96,91,90,13
2022-08-09 13:10:00,99,96,91,91,13
2022-08-09 13:15:00,94,97,92,84,13
2022-08-09 13:20:00,97,96,92,88,13
2022-08-09 13:25:00,99,97,92,90,13
2022-08-09 13:30:00,98,96,92,90,13
2022-08-09 13:35:00,96,97,93,87,13
2022-08-09 13:40:00,99,96,93,90,13
2022-08-09 13:45:00,93,94,93,85,13
2022-08-09 13:50:00,96,86,94,85,13
2022-08-09 13:55:00,99,93,93,89,13
2022-08-09 14:00:00,92,96,94,84,14
2022-08-09 14:05:00,97,97,94,88,14
2022-08-09 14:10:00,100,97,94,91,14
2022-08-09 14:15:00,96,85,95,86,14
2022-08-09 14:20:00,99,92,94,89,14
2022-08-09 14:25:00,94,96,94,85,14
2022-08-09 14:30:00,98,96,94,89,14
2022-08-09 14:35:00,93,88,95,87,14
2022-08-09 14:40:00,98,90,95,89,14
2022-08-09 14:45:00,93,95,95,86,14
2022-08-09 14:50:00,97,89,95,88,14
2022-08-09 14:55:00,95,90,95,85,14
2022-08-09 15:00:00,97,95,95,87,15
2022-08-09 15:05:00,99,96,95,91,15
2022-08-09 15:10:00,96,85,96,86,15
2022-08-09 15:15:00,99,91,95,89,15
2022-08-09 15:20:00,95,95,96,86,15
2022-08-09 15:25:00,99,96,96,91,15
2022-08-09 15:30:00,95,86,96,87,15
2022-08-09 15:35:00,99,91,96,90,15
2022-08-09 15:40:00,94,95,96,86,15
2022-08-09 15:45:00,99,96,96,91,15
2022-08-09 15:50:00,95,86,97,86,15
2022-08-09 15:55:00,99,90,96,90,15
2022-08-09 16:00:00,95,95,97,86,16
2022-08-09 16:05:00,99,96,97,92,16
2022-08-09 16:10:00,96,84,97,89,16
2022-08-09 16:15:00,100,92,97,92,16
2022-08-09 16:20:00,96,91,97,88,16
2022-08-09 16:25:00,95,87,98,87,16
2022-08-09 16:30:00,97,93,97,88,16
2022-08-09 16:35:00,93,91,97,87,16
2022-08-09 16:40:00,98,86,97,89,16
2022-08-09 16:45:00,93,94,97,85,16
2022-08-09 16:50:00,98,95,97,91,16
2022-08-09 16:55:00,93,86,98,90,16
2022-08-09 17:00:00,99,89,97,92,17
2022-08-09 17:05:00,94,95,98,87,17
2022-08-09 17:10:00,100,84,98,91,17
2022-08-09 17:15:00,96,92,98,88,17
2022-08-09 17:20:00,97,95,98,91,17
2022-08-09 17:25:00,97,83,98,88,17
2022-08-09 17:30:00,93,92,98,86,17
2022-08-09 17:35:00,98,95,98,90,17
2022-08-09 17:40:00,93,88,98,87,17
2022-08-09 17:45:00,99,88,98,91,17
2022-08-09 17:50:00,95,94,98,87,17
2022-08-09 17:55:00,100,95,98,93,17
2022-08-09 18:00:00,96,84,99,90,18
